chrom	start	end	sample	gt	supporting_sites	sites	DP	switches	CIGAR
X	140851	17709225	E372	2	188	198	1.37765957447	10	A16R1A27R6A1R1A53R1A89R1A2
MtDNA	13420	13420	E372	2	1	1	1.0	0	A1
I	25191	14969499	E373	1	256	263	1.59765625	5	R3A1R154A1R99A5
II	7241	15270682	E373	1	618	623	1.38025889968	8	R46A1R150A1R362A1R1A2R59
III	3773	13397419	E373	1	231	244	1.53246753247	1	R231A13
IV	934495	14458956	E373	1	276	281	1.29710144928	6	R183A3R6A1R39A1R48
IV	14550737	17450071	E373	2	61	61	1.47540983607	0	A61
V	8829	15052031	E373	2	371	374	1.32614555256	6	A71R1A5R1A110R1A185
V	15091156	16888417	E373	1	280	280	1.41071428571	0	R280
V	16908843	20802025	E373	2	165	167	1.4	4	A69R1A44R1A52
X	144909	15170099	E373	2	202	204	1.56435643564	4	A43R1A41R1A118
X	15352654	17682120	E373	1	27	27	2.92592592593	0	R27
I	39451	6031826	E374	2	254	261	1.66929133858	12	A31R1A54R1A18R2A78R1A48R1A8R1A17
I	6230034	15048468	E374	1	565	567	1.58761061947	4	R6A1R162A1R397
II	7241	15271135	E374	2	1022	1032	1.53326810176	16	A99R1A193R1A131R1A147R1A20R3A132R1A8R1A186R1A106
III	5485	11365085	E374	1	618	621	1.44822006472	6	R317A1R86A1R61A1R154
III	11542685	13776246	E374	2	76	78	1.35526315789	2	A45R2A31
IV	168873	2729324	E374	1	151	152	1.43708609272	2	R143A1R8
IV	2800064	8228724	E374	2	250	256	1.608	8	A110R2A99R1A2R1A2R2A37
IV	8339874	17491610	E374	1	493	501	1.53752535497	6	R13A4R1A3R45A1R434
V	721	4428230	E374	1	983	986	1.6012207528	5	A1R553A1R428A1R2
V	4528502	20900332	E374	2	1578	1599	1.6989860583	28	A56R1A18R4A14R1A35R1A300R1A126R1A78R1A102R3A437R1A28R1A139R1A18R3A62R1A113R1A52
X	5230	3051170	E374	1	202	203	1.85148514851	2	R77A1R125
X	3053956	17709225	E374	2	654	668	1.75840978593	14	A3R2A26R1A1R3A1R1A224R1A154R1A1R5A244
MtDNA	13420	13420	E374	2	1	1	1.0	0	A1
I	15024	4449850	E375	2	180	180	1.68888888889	0	A180
I	4540430	13074539	E375	1	300	301	1.54333333333	2	R128A1R172
I	13193392	15047468	E375	2	64	64	1.59375	0	A64
II	6368	15270584	E375	2	717	726	1.48675034868	12	A27R1A49R2A114R1A101R3A367R1A52R1A7
III	9798	818663	E375	2	69	73	1.23188405797	3	A65R1A4R3
III	818890	11117510	E375	1	293	302	1.56655290102	2	R6A9R287
III	11179409	13720766	E375	2	69	69	1.34782608696	0	A69
IV	424331	11307883	E375	1	413	420	1.40677966102	8	R331A1R44A3R1A1R1A2R36
IV	11408189	17490756	E375	2	212	213	1.54716981132	2	A19R1A193
V	18969	20910636	E375	1	2798	2808	1.52430307362	18	R740A1R55A1R397A1R871A1R2A1R3A1R60A1R78A1R412A2R180
X	5163	4988732	E375	1	222	224	1.71171171171	2	R219A2R3
X	5002819	17705273	E375	2	420	425	1.71904761905	10	A131R1A89R1A14R1A178R1A4R1A4
MtDNA	13420	13420	E375	2	1	1	1.0	0	A1
I	21533	1071645	E376	2	33	33	1.51515151515	0	A33
I	1197892	12846645	E376	1	436	442	1.50688073394	8	R64A1R4A3R237A1R17A1R114
I	12891362	14694245	E376	2	88	89	1.60227272727	2	A76R1A12
I	14697115	15050608	E376	1	14	14	1.78571428571	0	R14
II	943	15275133	E376	2	778	790	1.41388174807	14	A105R5A214R2A134R1A160R1A13R1A6R1A2R1A144
III	5485	13780910	E376	1	600	608	1.595	4	R366A7R102A1R132
IV	284134	17480204	E376	1	761	780	1.46780551905	11	A6R34A3R239A1R55A1R69A3R1A5R363
V	18362	1281731	E376	2	105	107	1.59047619048	2	A102R2A3
V	1392614	14030677	E376	1	1107	1114	1.65311653117	8	R30A1R21A1R25A4R878A1R153
V	14140433	20920888	E376	2	806	818	1.59305210918	10	A81R1A1R5A55R4A315R1A166R1A188
X	46121	3312897	E376	2	108	109	1.65740740741	2	A52R1A56
X	3590124	4414736	E376	1	51	51	1.66666666667	0	R51
X	4457452	14452828	E376	2	343	349	1.65014577259	6	A212R1A37R1A4R4A90
X	14463771	17717342	E376	1	109	109	1.66972477064	0	R109
I	104891	1660978	E377	2	45	45	1.4	0	A45
I	1746875	14991151	E377	1	483	484	1.54865424431	2	R260A1R223
II	7241	9960956	E377	2	514	516	1.45525291829	4	A128R1A298R1A88
II	10038778	15268639	E377	1	229	230	1.41484716157	2	R179A1R50
III	10123	13746259	E377	1	467	486	1.44111349036	3	R226A11R241A8
IV	642188	17490756	E377	1	702	710	1.52136752137	8	R323A3R22A3R1A1R3A1R353
V	1671	16793572	E377	2	1076	1083	1.64869888476	10	A80R2A395R1A202R1A108R1A141R2A150
V	16795652	20921003	E377	1	692	693	1.45375722543	2	R23A1R669
X	28025	17717342	E377	2	532	540	1.53571428571	10	A44R1A89R4A1R1A146R1A27R1A225
MtDNA	13420	13420	E377	2	1	1	2.0	0	A1
I	855	12787560	E378	1	3933	3939	2.57131960336	12	R568A1R63A1R5A1R733A1R905A1R651A1R1008
I	12803092	15054211	E378	2	705	734	2.66666666667	26	A33R5A51R1A93R1A195R1A4R1A27R1A38R10A57R1A5R2A24R1A28R1A10R3A1R1A139
II	6418	13525260	E378	1	7339	7360	2.5970840714	22	R270A1R3A1R1727A1R12A10R352A1R2346A1R1A1R5A1R271A1R776A1R204A2R1372
II	13526183	15276725	E378	2	524	542	2.59541984733	24	A15R1A63R1A46R2A18R1A9R1A6R1A2R4A39R1A30R1A6R3A113R1A74R1A103
III	5996	13780910	E378	2	3065	3132	2.62022838499	98	A82R1A12R3A68R2A39R1A93R1A17R1A4R1A123R2A192R2A16R1A5R1A101R2A346R1A32R1A41R1A66R1A22R2A36R1A66R2A233R1A29R2A30R1A273R1A20R1A18R2A6R4A2R1A10R2A41R1A221R1A92R1A29R1A114R1A22R1A2R1A2R1A1R1A63R1A148R1A7R1A72R1A90R1A4R1A20R1A8R4A40R1A2R1A25R1A75R2A5
IV	57787	17491902	E378	1	5587	5612	2.57132629318	38	R25A1R135A1R177A1R253A3R555A1R680A2R682A1R11A1R82A1R254A4R4A1R285A1R77A1R44A1R211A1R28A1R356A1R559A1R534A1R635
V	2094	20923490	E378	1	16535	16565	2.84233444209	42	R2273A1R4A1R364A2R686A1R1008A1R136A3R305A2R280A1R1490A1R255A1R623A1R511A1R3138A2R1A1R3A1R2015A1R223A1R340A5R787A1R943A1R352A1R798
X	5238	5375	E378	1	7	8	2.14285714286	2	R1A1R6
X	5406	3139249	E378	2	707	717	2.52333804809	14	A25R1A15R1A239R1A66R3A32R2A31R1A286R1A13
X	3145920	4752850	E378	1	406	406	2.62807881773	0	R406
X	4764645	4862932	E378	2	27	27	2.77777777778	0	A27
X	4868477	13065986	E378	1	1761	1767	2.74957410562	8	R424A2R63A1R510A1R242A2R522
X	13068575	17694008	E378	2	1053	1064	2.87939221273	20	A53R1A79R1A225R1A412R1A75R1A1R1A84R1A85R2A1R1A13R1A25
MtDNA	13420	13420	E378	2	1	1	1.0	0	A1
I	46114	13076159	E379	1	72	73	1.44444444444	2	R56A1R16
I	13282922	14866366	E379	2	6	6	1.16666666667	0	A6
II	291072	15217922	E379	2	101	110	1.35643564356	2	A45R9A56
III	12826	13780910	E379	1	110	111	1.26363636364	2	R63A1R47
IV	874574	17450071	E379	1	96	102	1.3125	4	R42A3R1A3R53
V	340501	12931140	E379	2	99	100	1.29292929293	2	A85R1A14
V	12996828	19810437	E379	1	152	154	1.13815789474	4	R87A1R54A1R11
V	20492239	20833880	E379	2	20	20	1.0	0	A20
X	151021	11361405	E379	2	37	39	1.18918918919	2	A33R2A4
X	11698356	17705273	E379	1	31	31	1.35483870968	0	R31
I	1222	2199052	E37	2	861	870	2.49825783972	16	A143R1A119R1A150R1A39R1A226R2A80R1A55R1A17R1A32
I	2199304	15058920	E37	1	4497	4519	2.36446519902	20	R80A1R1A10R274A1R277A1R286A1R1266A1R75A3R169A2R5A1R1702A1R362
II	943	4322808	E37	1	6490	6497	2.84175654854	12	R269A1R2A2R3A1R1860A1R1280A1R2557A1R519
II	4337702	7482856	E37	2	783	790	2.95785440613	12	A104R1A205R1A78R1A83R1A134R2A148R1A31
II	7489191	12829939	E37	1	1861	1861	2.67651800107	0	R1861
II	12832580	12934310	E37	2	37	37	1.72972972973	0	A37
II	12939829	15276725	E37	1	1260	1261	3.04682539683	2	R270A1R990
III	3683	2957381	E37	1	2544	2561	2.73073899371	8	R2121A7R1A3R2A6R369A1R51
III	2963707	13780512	E37	2	2205	2235	2.8462585034	46	A103R1A93R2A120R2A134R1A97R1A78R1A31R3A1R2A5R3A31R1A32R1A136R1A218R1A357R1A14R1A162R1A54R1A176R1A125R1A21R1A74R1A57R1A50R1A36
IV	57787	13534434	E37	2	3343	3374	2.93778043673	52	A27R1A4R1A254R4A14R1A63R1A120R1A67R1A112R1A120R1A138R1A229R1A428R1A606R1A10R2A1R1A2R1A80R1A155R2A81R1A30R1A82R1A17R1A186R1A192R1A22R1A124R1A179
IV	13537360	17490756	E37	1	2288	2289	3.27229020979	2	R66A1R2222
V	493	1927778	E37	1	2014	2018	3.63952333664	8	R1A1R611A1R1248A1R106A1R48
V	1937385	17705049	E37	2	10295	10373	2.95104419621	86	A377R1A79R1A872R1A219R2A79R1A693R1A96R1A404R2A9R1A2R1A108R2A11R1A112R1A1R2A13R1A222R2A60R1A484R2A5R1A773R1A375R2A231R1A745R1A286R1A52R1A29R1A98R1A17R1A210R3A315R5A4R1A39R6A9R1A51R1A91R1A273R10A60R1A4R1A1147R1A1002R3A106R1A3R6A326R2A203
V	17705637	20923258	E37	1	3913	3928	3.0362892921	10	R322A9R6A2R1A1R1A2R264A1R3319
X	5163	4752275	E37	1	1664	1673	3.15024038462	10	R5A5R568A1R23A1R64A1R1A1R1003
X	4758185	4864303	E37	2	72	72	3.0	0	A72
X	4865504	17684762	E37	1	3946	3953	2.81753674607	12	R1711A2R330A1R1339A1R458A1R50A1R42A1R16
I	1933	10154104	E380	1	130	131	1.72307692308	2	R79A1R51
I	10529931	12939407	E380	2	36	36	1.30555555556	0	A36
I	13301403	14835811	E380	1	39	39	1.33333333333	0	R39
II	531875	13795489	E380	2	257	260	1.41245136187	4	A143R1A15R2A99
II	13921542	15268033	E380	1	53	53	1.64150943396	0	R53
III	5909	12019974	E380	2	137	139	1.32846715328	4	A29R1A68R1A40
III	12071789	13780910	E380	1	48	48	1.27083333333	0	R48
IV	641413	3117738	E380	2	40	41	1.525	2	A20R1A20
IV	3193431	17480204	E380	1	290	296	1.29655172414	4	R140A4R2A2R148
V	3558	2718951	E380	2	70	70	1.31428571429	0	A70
V	2746079	20870942	E380	1	881	884	1.39614074915	4	R84A2R464A1R333
X	129034	9910079	E380	2	127	133	1.44094488189	4	A40R5A69R1A18
X	10189624	17648873	E380	1	135	137	1.40740740741	2	R28A2R107
I	36775	14984427	E381	1	380	385	1.64210526316	6	R73A3R89A1R74A1R144
II	74315	2499974	E381	2	128	131	1.5234375	2	A51R3A77
II	2547189	15269312	E381	1	430	444	1.42325581395	8	R21A1R129A1R197A11R67A1R16
III	7894	13746259	E381	2	217	223	1.51612903226	10	A54R2A8R1A5R1A30R1A63R1A57
IV	780690	17480204	E381	1	515	521	1.4640776699	8	R222A1R28A2R1A2R163A1R101
V	41150	8385482	E381	1	766	770	1.42036553525	8	R154A1R17A1R244A1R56A1R295
V	8498683	20921003	E381	2	588	594	1.53401360544	8	A383R1A57R1A25R3A60R1A63
X	99595	17694008	E381	2	383	393	1.45430809399	6	A90R6A137R3A25R1A131
MtDNA	13420	13420	E381	2	1	1	2.0	0	A1
I	1713	3156175	E382	2	83	85	1.66265060241	2	A34R2A49
I	3257427	7921312	E382	1	57	58	1.56140350877	2	R44A1R13
I	7983515	15058920	E382	2	174	176	1.35057471264	4	A43R1A95R1A36
II	7241	2786247	E382	1	359	368	1.52367688022	4	R26A2R178A7R155
II	2802284	15270682	E382	2	355	357	1.43661971831	4	A139R1A122R1A94
III	3823	13780910	E382	1	526	526	1.48669201521	0	R526
IV	639517	13495136	E382	1	352	357	1.32954545455	6	R277A3R2A1R37A1R36
IV	13534775	17490756	E382	2	142	143	1.38732394366	2	A16R1A126
V	27663	9947621	E382	2	465	475	1.43870967742	12	A52R1A58R2A67R2A9R1A62R2A19R2A198
V	10076071	20920888	E382	1	1063	1066	1.45061147695	4	R17A1R557A2R489
X	5246	17709225	E382	1	465	479	1.42580645161	8	R3A2R149A9R138A2R37A1R138
I	85256	14864835	E383	1	187	189	1.36898395722	4	R70A1R35A1R82
II	110796	15271184	E383	2	236	240	1.38983050847	6	A19R1A109R1A76R2A32
III	17406	13780910	E383	1	178	178	1.36516853933	0	R178
IV	419847	17452032	E383	1	226	244	1.30088495575	9	R144A2R1A2R2A1R27A3R52A10
V	27663	20921003	E383	1	867	873	1.33102652826	12	R71A1R131A1R202A1R17A1R195A1R134A1R117
X	75255	14904921	E383	2	153	156	1.33986928105	6	A41R1A22R1A39R1A51
X	14971326	17709225	E383	1	31	31	1.64516129032	0	R31
I	855	13274543	E384	1	272	274	1.65073529412	4	R133A1R59A1R80
I	13676063	14921034	E384	2	30	32	1.3	4	A5R1A9R1A16
II	7241	15266330	E384	1	704	708	1.37642045455	6	R11A1R626A2R56A1R11
III	14224	981460	E384	1	92	92	1.28260869565	0	R92
III	1233534	2536156	E384	2	26	26	1.53846153846	0	A26
III	2654404	13780910	E384	1	147	147	1.27891156463	0	R147
IV	284134	17469325	E384	1	465	473	1.40215053763	8	R42A1R243A2R2A2R1A3R177
V	51510	20720191	E384	2	835	845	1.41916167665	16	A88R1A166R1A114R1A102R1A33R1A11R3A4R1A88R1A229
X	68238	17709225	E384	2	276	284	1.42753623188	10	A53R4A90R1A4R1A46R1A66R1A17
MtDNA	13420	13420	E384	2	1	1	1.0	0	A1
I	67962	14865306	E385	2	53	53	1.47169811321	0	A53
II	508095	15270221	E385	1	159	172	1.25157232704	3	R3A1R156A12
III	43614	1759682	E385	1	23	24	1.21739130435	1	R23A1
III	2417982	13611867	E385	2	39	40	1.30769230769	1	R1A39
IV	461630	4067767	E385	2	21	22	1.42857142857	1	R1A21
IV	5039083	14375425	E385	1	37	41	1.37837837838	4	R14A3R2A1R21
IV	14560474	17412481	E385	2	20	20	1.25	0	A20
V	493	15741152	E385	2	156	157	1.32692307692	1	R1A156
V	15802989	20914818	E385	1	147	147	1.3537414966	0	R147
X	676959	7198553	E385	2	32	33	1.15625	2	A15R1A17
X	7839724	17717342	E385	1	41	41	1.12195121951	0	R41
I	42048	14948509	E386	1	219	224	1.53881278539	4	R25A4R100A1R94
II	30712	13168210	E386	1	432	440	1.39814814815	8	R9A1R1A2R101A2R38A3R283
II	13226371	15230475	E386	2	31	31	1.29032258065	0	A31
III	29060	1689608	E386	2	51	51	1.60784313725	0	A51
III	1708210	13779403	E386	1	112	112	1.09821428571	0	R112
IV	419847	4006511	E386	2	52	52	1.36538461538	0	A52
IV	4076528	17476647	E386	1	166	175	1.39759036145	6	R51A4R1A4R28A1R86
V	16796	20660022	E386	2	555	566	1.27387387387	8	A76R3A276R4A10R3A116R1A77
X	289841	1503279	E386	2	14	15	1.35714285714	1	R1A14
X	1542278	17580490	E386	1	246	247	1.32113821138	2	R73A1R173
I	12837	14915868	E387	1	670	693	1.69552238806	20	R123A5R281A3R199A1R46A1R3A1R5A2R2A6R3A1R4A2R2A1R2
II	7241	13604447	E387	2	911	923	1.46432491767	24	A8R1A18R1A13R1A20R1A25R1A127R1A95R1A303R1A39R1A93R1A36R1A116R1A18
II	13661683	15275115	E387	1	100	101	1.73	2	R3A1R97
III	10436	13780512	E387	1	667	669	1.42578710645	4	R345A1R290A1R32
IV	642188	17491610	E387	1	803	822	1.55666251557	19	A2R2A1R204A1R14A1R106A4R24A2R32A3R1A2R2A2R99A1R319
V	705	534393	E387	2	25	31	1.0	8	A2R1A2R1A6R3A3R1A12
V	537318	6181969	E387	1	339	492	1.64306784661	142	R4A2R9A5R11A2R7A1R5A3R1A2R5A1R3A5R5A1R8A1R4A2R2A1R3A1R3A3R3A1R3A3R1A1R1A2R4A3R11A5R1A2R3A1R4A1R7A6R21A2R10A1R7A4R6A3R2A3R2A2R1A1R2A3R14A3R2A3R4A2R1A2R3A1R3A3R12A3R4A5R14A1R8A7R1A1R3A1R1A1R1A2R1A3R2A1R2A4R1A4R10A1R1A5R13A2R20A1R1A4R3A2R1A1R2A1R1A1R1A1R3A1R1A1R14A2R6A1R2A1R2A1R1A1R8A1R1A2R2A1R1A1R9
V	6209996	20802025	E387	2	1303	1317	1.61243284728	18	A2R1A9R2A1R1A392R1A140R5A27R1A323R1A175R1A137R1A97
X	27853	17717342	E387	2	555	618	1.68288288288	62	A43R1A6R1A67R1A1R4A56R1A62R1A75R1A87R1A13R1A34R2A1R1A1R5A8R2A3R1A2R3A1R1A2R7A9R1A1R2A3R1A2R1A2R4A1R2A1R2A1R1A1R1A1R5A2R1A3R3A2R2A4R3A60
MtDNA	13420	13420	E387	2	1	1	1.0	0	A1
I	1713	2998021	E388	1	74	74	1.75675675676	0	R74
I	3039572	15024740	E388	2	123	123	1.64227642276	0	A123
II	7241	15266330	E388	2	289	291	1.37716262976	4	A20R1A88R1A181
III	8963	13780910	E388	1	205	206	1.42926829268	2	R123A1R82
IV	419847	13216460	E388	1	175	189	1.4	5	A6R135A7R10A1R30
IV	13413302	17476647	E388	2	73	73	1.20547945205	0	A73
V	250041	2671713	E388	2	69	69	1.27536231884	0	A69
V	2721853	13979218	E388	1	364	367	1.41758241758	6	R127A1R10A1R175A1R52
V	15045342	20890815	E388	2	324	326	1.45679012346	2	A85R2A239
X	32004	14374442	E388	2	174	176	1.35632183908	4	A42R1A79R1A53
X	14440569	16216404	E388	1	49	49	1.30612244898	0	R49
I	1713	14978464	E389	1	295	300	1.66101694915	6	R54A2R1A2R105A1R135
II	7241	15266330	E389	2	390	397	1.45384615385	8	A7R1A58R3A145R2A158R1A22
III	8963	1759312	E389	1	127	129	1.40157480315	1	R127A2
III	1767637	13729059	E389	2	121	126	1.37190082645	5	R2A94R1A21R2A6
IV	854524	2096261	E389	2	26	26	1.11538461538	0	A26
IV	2156625	12503827	E389	1	211	218	1.30331753555	2	R173A7R38
IV	12816401	17491610	E389	2	97	102	1.56701030928	4	A27R4A50R1A20
V	27663	20918816	E389	2	764	771	1.37696335079	10	A87R3A59R1A61R1A216R1A59R1A282
X	119812	17709225	E389	2	257	260	1.31517509728	4	A15R1A39R2A203
MtDNA	13420	13420	E389	2	1	1	1.0	0	A1
I	1713	2142174	E38	1	1734	1734	3.13494809689	0	R1734
I	2146872	4121499	E38	2	1035	1044	3.13623188406	12	A113R4A191R1A256R1A26R1A276R1A125R1A48
I	4129830	13566678	E38	1	4219	4227	2.83432092913	12	R644A1R204A1R928A1R103A3R5A1R2229A1R106
I	13572103	15058920	E38	2	706	718	2.64730878187	8	A128R1A2R1A94R7A187R3A295
II	943	11345470	E38	2	8123	8208	3.29742705897	94	A27R1A22R1A1R1A46R3A33R1A185R2A178R1A259R1A143R1A14R2A145R2A36R1A201R1A405R5A163R2A1R1A15R9A173R1A665R1A419R3A66R3A19R3A29R1A3R4A126R2A432R1A370R1A289R1A102R1A290R1A94R2A501R2A530R1A100R1A1R1A370R1A260R1A188R5A4R3A35R2A637R2A51R1A50R1A65R1A216R1A75R1A15R1A74
II	11350561	12670111	E38	1	1173	1175	3.62574595055	2	R1159A2R14
II	12672434	13318004	E38	2	359	361	3.65459610028	4	A39R1A198R1A122
II	13325346	15276962	E38	1	1518	1525	3.18972332016	8	R88A3R8A2R1188A1R172A1R62
III	3790	12163561	E38	2	5130	5167	3.05380116959	56	A368R1A7R2A32R1A6R1A352R1A144R1A11R1A9R1A9R1A105R2A99R2A141R1A138R1A24R3A707R1A59R1A124R1A39R1A395R1A29R1A520R1A232R1A18R5A1R1A852R1A2R1A301R1A403R1A3
III	12171938	13780910	E38	1	882	882	2.78458049887	0	R882
IV	70396	1376305	E38	2	312	313	2.71794871795	2	A33R1A279
IV	1383723	17490756	E38	1	8679	8715	2.92833275723	36	R427A1R1839A3R323A2R1227A1R10A1R1A2R1A1R2A8R234A3R115A1R199A1R10A4R1A1R3A2R504A1R160A1R946A1R1527A2R1150
V	493	3679304	E38	1	6322	6332	3.17937361594	12	R1A1R120A5R2161A1R400A1R182A1R584A1R2874
V	3685187	18219927	E38	2	13300	13402	3.2862406015	102	A843R1A10R1A275R1A40R3A23R1A15R3A79R1A161R1A4R1A25R1A142R1A141R1A28R2A92R1A71R7A14R2A11R1A347R3A110R1A515R7A1504R1A47R1A95R1A36R1A366R1A90R1A210R1A461R1A248R2A656R2A686R2A1R2A65R3A553R8A1R2A114R5A135R1A2291R1A966R2A138R6A114R1A601R1A60R1A596R2A48R1A7R2A135R1A22R1A10R1A79R1A3R6A16
V	18220018	18220216	E38	1	15	15	2.86666666667	0	R15
V	18220243	20922076	E38	2	3479	3504	3.15205518827	38	A138R1A135R1A57R1A144R1A32R1A17R2A247R2A9R3A284R1A161R3A101R1A82R1A35R1A329R1A43R1A74R1A138R1A771R1A637R1A45
X	5163	4754094	E38	1	2391	2393	2.88414889168	4	R852A1R207A1R1332
X	4759896	4864303	E38	2	77	77	2.24675324675	0	A77
X	4865504	17717342	E38	1	5361	5369	2.58365976497	12	R802A1R1530A2R611A2R427A1R1926A1R27A1R38
I	855	14638358	E390	1	486	489	1.60288065844	4	R59A2R225A1R202
I	14682966	15008707	E390	2	9	9	1.22222222222	0	A9
II	7241	15268474	E390	2	621	626	1.45088566828	6	A150R3A300R1A161R1A10
III	8374	1472554	E390	1	278	278	1.5035971223	0	R278
III	1566350	3065043	E390	2	26	26	1.11538461538	0	A26
III	3291159	3946004	E390	1	14	14	1.78571428571	0	R14
III	3986704	13688635	E390	2	154	155	1.46753246753	2	A152R1A2
IV	68361	17491919	E390	1	628	636	1.43789808917	4	R88A1R246A7R294
V	705	10747850	E390	1	991	996	1.52674066599	7	A1R173A1R445A1R39A2R334
V	10813446	20886766	E390	2	658	663	1.53039513678	2	A217R5A441
X	29154	3716925	E390	2	114	115	1.48245614035	2	A53R1A61
X	4026153	17672507	E390	1	476	487	1.47899159664	4	R45A9R208A2R223
I	935110	14451503	E391	1	12	12	1.33333333333	0	R12
III	160703	13780182	E391	1	12	12	1.16666666667	0	R12
IV	1950906	13847004	E391	1	7	7	1.0	0	R7
IV	14903846	14929988	E391	2	2	2	1.0	0	A2
V	928910	17836587	E391	2	21	21	1.09523809524	0	A21
V	18842743	20838018	E391	1	16	16	1.3125	0	R16
I	10291	1952682	E392	1	80	80	1.6375	0	R80
I	2007053	3282657	E392	2	29	29	2.37931034483	0	A29
I	3465959	14995215	E392	1	285	287	1.61754385965	4	R110A1R9A1R166
II	57835	3611205	E392	1	513	516	1.47368421053	4	R28A2R1A1R484
II	3666091	12613571	E392	2	253	254	1.46640316206	2	A200R1A53
II	12728422	15276725	E392	1	123	123	1.26829268293	0	R123
III	3683	12461134	E392	1	383	385	1.34464751958	2	R216A2R167
III	12575736	13780512	E392	2	33	33	1.18181818182	0	A33
IV	842488	17480204	E392	2	355	368	1.43943661972	22	A48R1A117R1A7R1A10R1A10R1A11R1A9R1A77R3A5R1A22R1A2R1A37
V	36512	1141315	E392	1	151	155	1.32450331126	2	R59A4R92
V	1227227	7160467	E392	2	317	321	1.43533123028	8	A34R1A35R1A90R1A73R1A85
V	7244824	20921003	E392	1	1391	1406	1.46081955428	10	R210A1R613A1R3A1R191A11R102A1R272
X	12437	15406887	E392	1	453	458	1.53200883002	2	R162A5R291
X	15439818	17717342	E392	2	36	36	1.69444444444	0	A36
MtDNA	13420	13420	E392	2	1	1	2.0	0	A1
I	32818	14803364	E393	1	52	58	1.32692307692	4	R39A1R1A5R12
II	39003	1539467	E393	1	15	15	1.66666666667	0	R15
II	1789832	2150674	E393	2	14	14	1.5	0	A14
II	2312626	12806555	E393	1	87	87	1.52873563218	0	R87
II	13187497	15271135	E393	2	16	16	1.5625	0	A16
III	8149	1592841	E393	1	59	59	1.37288135593	0	R59
III	1844057	11882958	E393	2	27	27	1.25925925926	0	A27
III	12131046	13780512	E393	1	15	15	1.06666666667	0	R15
IV	878126	11975981	E393	1	24	31	1.04166666667	1	A7R24
IV	12250253	17459924	E393	2	25	25	1.32	0	A25
V	82703	7679760	E393	2	84	85	1.17857142857	2	A42R1A42
V	9285890	20909920	E393	1	199	199	1.27135678392	0	R199
X	460906	10518689	E393	2	50	51	1.02	2	A20R1A30
X	10924494	17709225	E393	1	31	35	1.32258064516	1	R31A4
I	1713	1703053	E394	2	455	482	2.2	42	A4R1A47R1A21R2A65R1A37R1A1R1A4R2A15R2A47R1A3R1A83R1A2R1A3R1A3R2A14R1A32R1A4R1A20R2A7R1A8R2A1R1A34
I	1719183	15010607	E394	1	3655	3666	2.21532147743	20	R436A1R299A1R8A1R117A1R404A1R115A1R558A1R149A2R1034A1R80A1R455
II	6368	14176412	E394	2	4867	4947	2.43599753442	104	A21R1A52R1A15R1A77R1A67R1A83R1A77R2A40R1A50R2A8R2A302R1A664R1A7R1A36R2A34R1A236R1A99R4A75R1A134R1A228R2A394R2A1R2A77R1A152R1A23R1A24R1A59R1A9R1A35R6A4R3A12R1A49R2A204R1A52R2A37R4A184R1A91R1A24R1A40R1A147R1A103R1A146R1A1R1A37R1A209R1A196R2A1R1A1R1A71R2A12R1A124R2A28R4A15
II	14189979	15276725	E394	1	382	385	2.77748691099	6	R11A1R13A1R242A1R116
III	4070	2819962	E394	2	1233	1260	2.7104622871	32	A71R1A121R1A46R3A73R1A3R1A1R3A7R3A8R3A6R1A274R3A16R1A221R1A197R1A31R1A94R2A53R1A11
III	2822583	13780910	E394	1	1864	1873	2.66309012876	14	R181A2R405A1R428A1R164A1R416A2R67A1R64A1R139
IV	57787	17491902	E394	2	3915	4034	2.5496807152	166	A18R1A6R1A113R1A13R1A28R1A12R1A22R1A11R1A1R4A28R3A12R2A23R1A31R1A63R2A21R6A7R2A61R1A28R1A56R2A128R1A10R2A20R2A111R2A20R2A14R1A170R1A28R1A45R1A52R2A42R2A12R1A340R2A4R1A4R2A9R1A1R1A48R1A115R2A70R1A14R1A9R1A2R1A4R1A57R1A47R1A75R1A58R1A52R1A36R2A14R1A3R1A108R1A61R1A1R1A55R2A76R1A40R2A178R2A210R1A19R1A25R1A22R3A1R1A22R1A4R3A6R1A71R1A89R1A72R1A10R2A2R1A7R1A36R1A1R4A26R1A161R1A2R1A10R2A76R1A161R1A47R1A33R1A13R1A102
V	960	9770377	E394	2	4360	4414	2.52568807339	62	A28R1A265R1A262R1A39R1A9R1A30R1A3R1A6R2A64R2A123R1A78R1A117R1A7R3A14R1A84R13A182R1A281R1A204R1A392R1A178R1A164R2A1R2A207R2A11R1A77R3A13R2A91R2A147R1A82R1A1030R1A142R1A29
V	9774574	16347510	E394	1	3588	3594	2.36649944259	12	R85A1R631A1R243A1R287A1R1A1R1632A1R709
V	16361779	20922076	E394	2	3488	3531	2.22821100917	66	A210R1A215R1A477R1A105R1A12R1A248R1A75R1A98R1A58R1A39R1A1R1A63R1A3R1A50R2A64R2A45R1A29R6A256R2A26R2A134R1A1R1A130R1A16R1A65R1A24R1A27R1A219R1A1R1A70R1A53R1A92R1A195R2A386R1A1
X	27853	17694008	E394	2	3472	3511	2.3090437788	53	R1A5R2A79R1A123R1A104R1A9R1A35R2A33R1A214R1A133R6A8R1A243R1A1R1A777R1A1R1A165R1A133R2A280R2A3R2A240R1A33R1A188R1A75R1A321R3A69R1A155R1A32R1A13
